Date,Concentration
03/02/2017,0.38
04/02/2017,2.07
05/02/2017,2
06/02/2017,0.99
07/02/2017,1.24
08/02/2017,0.58
09/02/2017,0.87
10/02/2017,1.19
11/02/2017,0.58
12/02/2017,0.64
13/02/2017,0.55
14/02/2017,0.8
15/02/2017,0.59
16/02/2017,0.91
17/02/2017,0.87
18/02/2017,0.74
19/02/2017,0.57
20/02/2017,0.61
21/02/2017,1.03
22/02/2017,0.74
23/02/2017,0.7
26/02/2017,1.13
27/02/2017,0.61
28/02/2017,0.54
01/03/2017,1.27
02/03/2017,0.76
03/03/2017,0.76
04/03/2017,0.88
05/03/2017,1.02
06/03/2017,0.87
07/03/2017,0.81
08/03/2017,1.55
09/03/2017,3.25
11/03/2017,0.95
12/03/2017,0.98
13/03/2017,0.89
14/03/2017,0.62
15/03/2017,0.68
16/03/2017,0.5
17/03/2017,0.89
18/03/2017,0.59
19/03/2017,0.44
20/03/2017,0.6
21/03/2017,0.44
22/03/2017,0.67
23/03/2017,0.39
24/03/2017,0.75
25/03/2017,1
26/03/2017,1.28
27/03/2017,1.35
28/03/2017,0.83
29/03/2017,1.07
30/03/2017,0.93
31/03/2017,0.56
01/04/2017,0.91
02/04/2017,1.25
03/04/2017,0.94
04/04/2017,1.33
05/04/2017,4.07
06/04/2017,2.31
07/04/2017,0.74
08/04/2017,0.79
09/04/2017,1.94
10/04/2017,2.34
11/04/2017,2.18
12/04/2017,1.39
13/04/2017,0.71
14/04/2017,0.84
15/04/2017,0.85
16/04/2017,1.21
17/04/2017,1.57
18/04/2017,0.87
19/04/2017,0.84
20/04/2017,1.07
21/04/2017,2.74
23/04/2017,1
24/04/2017,1.57
25/04/2017,1.75
26/04/2017,1.07
27/04/2017,1.2
28/04/2017,1.21
29/04/2017,1.18
30/04/2017,2.57
01/05/2017,0.97
02/05/2017,0.68
03/05/2017,1.37
04/05/2017,1.21
05/05/2017,1.03
06/05/2017,0.54
07/05/2017,0.63
08/05/2017,0.87
09/05/2017,2.4
10/05/2017,3.34
11/05/2017,1.54
12/05/2017,1.06
13/05/2017,0.74
14/05/2017,0.86
15/05/2017,1.06
16/05/2017,1.6
17/05/2017,1.32
18/05/2017,1.7
19/05/2017,1.07
20/05/2017,1
21/05/2017,1.33
22/05/2017,0.75
23/05/2017,0.43
25/05/2017,1.18
26/05/2017,2.28
27/05/2017,4.18
28/05/2017,4.55
29/05/2017,2.7
30/05/2017,1.83
31/05/2017,2.46
01/06/2017,0.83
02/06/2017,0.63
03/06/2017,0.89
04/06/2017,0.94
05/06/2017,0.98
06/06/2017,1.94
07/06/2017,3.7
08/06/2017,1.36
09/06/2017,1.1
10/06/2017,0.79
11/06/2017,1.34
12/06/2017,0.76
13/06/2017,0.85
14/06/2017,0.8
15/06/2017,0.84
16/06/2017,1.93
17/06/2017,1.05
18/06/2017,0.71
19/06/2017,1.03
20/06/2017,1.14
21/06/2017,1.26
22/06/2017,0.76
23/06/2017,0.79
24/06/2017,0.68
25/06/2017,1.66
26/06/2017,2.22
27/06/2017,3
28/06/2017,1.55
29/06/2017,1.64
30/06/2017,0.99
01/07/2017,1.05
02/07/2017,1.95
03/07/2017,0.6
04/07/2017,0.56
05/07/2017,0.61
06/07/2017,1.88
07/07/2017,1.21
08/07/2017,0.47
09/07/2017,0.44
10/07/2017,1.16
11/07/2017,1.58
12/07/2017,1.75
13/07/2017,2.57
14/07/2017,2.9
15/07/2017,2.31
16/07/2017,2.27
17/07/2017,1.59
18/07/2017,1.43
19/07/2017,0.73
20/07/2017,2.02
21/07/2017,2.55
22/07/2017,3.48
23/07/2017,2.91
24/07/2017,2.81
25/07/2017,3.26
26/07/2017,1.91
27/07/2017,2.28
28/07/2017,2.61
29/07/2017,3.22
30/07/2017,1.37
31/07/2017,0.45
01/08/2017,0.35
02/08/2017,0.35
03/08/2017,1.03
04/08/2017,1.19
05/08/2017,0.58
06/08/2017,0.85
07/08/2017,0.84
08/08/2017,1.1
09/08/2017,0.74
10/08/2017,0.82
11/08/2017,1.54
12/08/2017,1.45
13/08/2017,1.03
14/08/2017,0.72
15/08/2017,0.89
16/08/2017,1.2
17/08/2017,0.97
18/08/2017,1.28
19/08/2017,1.88
20/08/2017,2.78
21/08/2017,2.68
22/08/2017,1.68
23/08/2017,1.25
24/08/2017,0.47
25/08/2017,1.55
26/08/2017,0.85
27/08/2017,0.67
28/08/2017,3.13
29/08/2017,2.92
30/08/2017,3.35
31/08/2017,1.66
01/09/2017,0.46
02/09/2017,0.49
03/09/2017,0.46
04/09/2017,0.44
05/09/2017,0.47
06/09/2017,0.46
07/09/2017,0.63
08/09/2017,0.31
09/09/2017,0.45
10/09/2017,0.5
11/09/2017,0.62
12/09/2017,0.51
13/09/2017,0.46
14/09/2017,0.44
15/09/2017,0.34
16/09/2017,0.32
17/09/2017,0.72
18/09/2017,0.49
19/09/2017,0.59
20/09/2017,0.4
21/09/2017,2.03
22/09/2017,1.72
23/09/2017,0.39
24/09/2017,0.44
25/09/2017,0.49
26/09/2017,0.47
27/09/2017,0.3
28/09/2017,0.32
29/09/2017,0.35
30/09/2017,0.44
01/10/2017,0.48
02/10/2017,0.7
03/10/2017,0.45
04/10/2017,0.44
05/10/2017,0.57
06/10/2017,0.49
07/10/2017,0.39
08/10/2017,0.42
09/10/2017,0.81
10/10/2017,0.52
11/10/2017,0.71
12/10/2017,0.32
